can_id,can_nam,can_off,can_off_sta,can_off_dis,can_par_aff,can_inc_cha_ope_sea,can_str1,can_str2,can_cit,can_sta,can_zip,ind_ite_con,ind_uni_con,ind_con,par_com_con,oth_com_con,can_con,tot_con,tra_fro_oth_aut_com,can_loa,oth_loa,tot_loa,off_to_ope_exp,off_to_fun,off_to_leg_acc,oth_rec,tot_rec,ope_exp,exe_leg_acc_dis,fun_dis,tra_to_oth_aut_com,can_loa_rep,oth_loa_rep,tot_loa_rep,ind_ref,par_com_ref,oth_com_ref,tot_con_ref,oth_dis,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,net_con,net_ope_exp,deb_owe_by_com,deb_owe_to_com,cov_sta_dat,cov_end_dat,winner,votes
H2GA12121,"ALLEN, RICHARD W",H,GA,12,REP,INCUMBENT,2237 PICKENS RD,,AUGUSTA,GA,30904,"$554,305.00 ","$46,969.50 ","$601,274.50 ",,"$473,675.00 ",,"$1,074,949.50 ","$17,710.49 ",,,,"$1,362.77 ",,,,"$1,094,022.76 ","$908,518.98 ",,,,,,,,,,,"$70,000.00 ","$978,518.98 ","$60,109.57 ","$175,613.35 ","$1,074,949.50 ","$907,156.21 ","$1,125,000.00 ",,01-01-15,10/19/2016,Y,158708
H6PA02171,"EVANS, DWIGHT",H,PA,2,DEM,CHALLENGER,PO BOX 6578,,PHILADELPHIA,PA,19138,"$1,042,280.38 ","$72,430.64 ","$1,114,711.02 ",,"$302,834.20 ",,"$1,417,545.22 ",,,,,"$1,725.70 ",,,,"$1,419,270.92 ","$1,300,557.53 ",,,,,,,"$9,326.16 ",,"$1,500.00 ","$10,826.16 ","$2,200.00 ","$1,313,583.69 ",,"$105,687.23 ","$1,406,719.06 ","$1,298,831.83 ",,,11-02-15,10/19/2016,Y,310770
H6FL04105,"RUTHERFORD, JOHN",H,FL,4,REP,OPEN,3817 VICKERS LAKE DRIVE,,JACKSONVILLE,FL,32224,"$529,030.38 ","$13,075.00 ","$542,105.38 ",,"$106,050.00 ","$2,700.00 ","$650,855.38 ",,"$60,000.00 ",,"$60,000.00 ",$432.47 ,,,,"$711,287.85 ","$656,642.76 ",,,,,,,,,,,"$19,000.00 ","$675,642.76 ",,"$35,645.09 ","$650,855.38 ","$656,210.29 ","$60,000.00 ",,04-01-16,10/19/2016,Y,286018
H4MT01041,"ZINKE, RYAN K",H,MT,0,REP,INCUMBENT,409 2ND ST W,,WHITEFISH,MT,599373010,"$2,479,616.45 ","$1,837,715.13 ","$4,317,331.58 ","$3,545.32 ","$660,038.51 ",,"$4,980,915.41 ","$136,894.00 ",,,,"$17,168.18 ",,,"$55,910.19 ","$5,190,887.78 ","$5,073,110.33 ",,,,"$42,000.00 ",,"$42,000.00 ","$38,471.67 ",,"$3,500.00 ","$41,971.67 ","$43,548.00 ","$5,200,630.00 ","$83,815.78 ","$399,122.61 ","$4,938,943.74 ","$5,055,942.15 ",,,01-01-15,10/19/2016,Y,280476
H8CA09060,"LEE, BARBARA",H,CA,13,DEM,INCUMBENT,"409 13TH ST, 17TH FL",,OAKLAND,CA,94612,"$746,233.93 ","$150,889.68 ","$897,123.61 ",,"$308,740.00 ",,"$1,205,863.61 ",,,,,"$3,947.96 ",,,,"$1,209,811.57 ","$953,436.94 ",,,,,,,"$8,187.00 ",,,"$8,187.00 ","$150,540.00 ","$1,112,163.94 ","$83,690.60 ","$181,338.23 ","$1,197,676.61 ","$949,488.98 ","$4,401.75 ",,01-01-15,10/19/2016,Y,277390
H6NC04037,"PRICE, DAVID E.",H,NC,4,DEM,INCUMBENT,P. O. BOX 1986,,RALEIGH,NC,27602,"$256,364.26 ","$72,440.26 ","$328,804.52 ",$300.00 ,"$399,750.00 ",,"$728,854.52 ",,,,,"$4,862.09 ",,,,"$733,716.61 ","$435,688.13 ",,,$264.85 ,,,,"$3,000.00 ",,,"$3,000.00 ","$236,885.00 ","$675,837.98 ","$216,409.21 ","$274,287.84 ","$725,854.52 ","$430,826.04 ",,,01-01-15,10/19/2016,Y,275501
H2WI02124,"POCAN, MARK",H,WI,2,DEM,INCUMBENT,PO BOX 327,,MADISON,WI,53701,"$239,089.22 ","$154,784.61 ","$393,873.83 ",$28.54 ,"$576,645.00 ",,"$970,547.37 ",,,,,$27.00 ,,,,"$970,574.37 ","$445,465.15 ",,,,,,,$162.33 ,,,$162.33 ,"$300,275.96 ","$745,903.44 ","$187,549.87 ","$412,220.80 ","$970,385.04 ","$445,438.15 ",,,01-01-15,10/19/2016,Y,273520
H2MA09072,"LYNCH, STEPHEN",H,MA,8,DEM,INCUMBENT,105 FARRAGUT RD,,SOUTH BOSTON,MA,2127,"$707,366.10 ","$59,683.46 ","$767,049.56 ",,"$325,220.00 ",,"$1,092,269.56 ",,,,,"$4,845.55 ",,,,"$1,097,115.11 ","$464,636.23 ",,,,,,,$51.00 ,,,$51.00 ,"$28,360.00 ","$493,047.23 ","$406,586.74 ","$1,010,654.62 ","$1,092,218.56 ","$459,790.68 ",,"$1,750.00 ",01-01-15,10/19/2016,Y,267944
H6OR02116,"WALDEN, GREGORY P MR.",H,OR,2,REP,INCUMBENT,1504 SHERMAN AVENUE,,HOOD RIVER,OR,970311456,"$827,711.91 ","$141,725.12 ","$969,437.03 ",,"$2,042,913.61 ",,"$3,012,350.64 ","$94,317.84 ",,,,"$26,478.50 ",,,$981.88 ,"$3,134,128.86 ","$1,937,694.04 ",,,,,,,"$5,200.00 ",,"$2,500.00 ","$7,700.00 ","$921,525.73 ","$2,866,919.77 ","$997,259.73 ","$1,264,468.82 ","$3,004,650.64 ","$1,911,215.54 ",,,01-01-15,10/19/2016,Y,267179
H2MA04073,"KENNEDY, JOSEPH P III",H,MA,4,DEM,INCUMBENT,PO BOX 590464,,NEWTON,MA,2459,"$1,887,969.18 ","$50,223.20 ","$1,938,192.38 ",,"$859,775.00 ",,"$2,797,967.38 ","$191,442.43 ",,,,"$1,567.29 ",,,"$20,196.83 ","$3,011,173.93 ","$1,539,411.68 ",,,,,,,"$11,105.12 ",,"$2,500.00 ","$13,605.12 ",,"$1,553,016.80 ","$1,400,008.58 ","$2,858,165.71 ","$2,784,362.26 ","$1,537,844.39 ",,,01-01-15,10/19/2016,Y,261356
